300,2.79265,1977,3271.76,3378.63
1000,5.03992,1366,12110,12226.4
3000,12.1956,1201,39292.8,39582
10000,64.4115,1353,140679,141134
30000,233.861,1701,443879,445608
100000,1285.75,3207,1.54567e+06,1.55886e+06
300000,8578.38,7103,4.78314e+06,4.81463e+06
